P1,P2,P2.1,P3,P4,P5,P6,P7,P8.1,P8.2,P8.3,P9,P10,P11.1,P11.2,P11.3,P11.4,P11.5,P11.6,P11.7,P12,P13,P14.1,P14.2,P14.3,P14.4,P14.5,P14.6,P14.7,P15,P16,P17,P18,P19,P20,P21,P22,P23,P4_categorias,ideologia_agrupada
2005,No,No,,,0,N.C.,N.C.,2,3.0,3.0,Sí,Sí,De acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,De acuerdo,En desacuerdo,Totalmente de acuerdo,35-39 años,"Falta de estabilidad económica, No tener pareja, Incertidumbre acerca del futuro",5,7,7,7,7,5,7,"No, debería ser más",6,No,De acuerdo,No creyente,5,Estudiante,No tiene ingresos de ningún tipo,Estudios universitarios o equivalentes,,Centro
1964,Sí,,32.0,,0,De nadie en particular,Preocupación,0,10.0,0.0,No,No,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,En desacuerdo,Totalmente en desacuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,6,6,6,6,6,7,Sí,10,No,Totalmente de acuerdo,Católica no practicante,7,Técnicos y profesionales científicos e intelectuales,Menos de 1.100,Estudios primarios o equivalentes,,Derecha
1970,Sí,,24.0,,0,De nadie en particular,Preocupación,0,2.0,0.0,No,Sí,Totalmente de acuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,En desacuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,7,7,7,7,7,Sí,10,Sí,Totalmente de acuerdo,Católica no practicante,5,"Trabajadores de servicios de restauración, personales, protección y vendedores de los comercios",De 1.100 a 1.800,Formación profesional de grado superior,,Centro
1988,Sí,,21.0,,0,De nadie en particular,"Soledad, Preocupación",2,0.0,1.0,No,Sí,De acuerdo,De acuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,Ni acuerdo ni desacuerdo,40 o más años,No tener pareja,5,2,1,1,1,1,2,Sí,7,No,Totalmente de acuerdo,Católica no practicante,5,Técnicos y profesionales de apoyo,N.C.,Estudios universitarios o equivalentes,,Centro
1984,Sí,,37.0,,2,Familiares,"Ansiedad, Depresión, Miedo, Culpa, Soledad, Preocupación",2,0.0,2.0,Sí,No,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,7,7,7,7,7,7,"No, debería ser más",10,No,Totalmente de acuerdo,No creyente,0,"Trabajadores de servicios de restauración, personales, protección y vendedores de los comercios",De 1.100 a 1.800,Bachillerato,,Izquierda
1990,No,Sí,,En tener estabilidad económica,0,De nadie en particular,,5,4.0,6.0,No,No,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,En desacuerdo,Totalmente de acuerdo,En desacuerdo,N.C.,40 o más años,"Precariedad laboral, Falta de estabilidad económica",7,7,7,6,7,5,6,"No, debería ser más",10,No,Totalmente de acuerdo,No creyente,2,Técnicos y profesionales científicos e intelectuales,Menos de 1.100,Formación profesional de grado superior,Al tener estabilidad,Izquierda
1988,Sí,,32.0,,8,"Familiares, Sociedad en general","Ansiedad, Depresión, Miedo, Culpa, Soledad, Preocupación",8,4.0,5.0,No,No,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,En desacuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,40 o más años,"Precariedad laboral, Falta de estabilidad económica, No tener pareja",7,7,6,6,5,3,6,"No, debería ser más",5,No,Totalmente de acuerdo,Creyente de otra religión,2,Autónoma,De 1.801 a 2.700,Estudios universitarios o equivalentes,,Izquierda
1970,Sí,,31.0,31,4,Pareja,Preocupación,1,2.0,0.0,No,Sí,De acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,En desacuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,En desacuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Estudios",7,7,5,7,7,7,7,"No, debería ser más",10,No,Totalmente de acuerdo,Creyente de otra religión,5,Técnicos y profesionales científicos e intelectuales,De 1.801 a 2.700,Estudios universitarios o equivalentes,Entre 30 y 35 años,Centro
1969,Sí,,17.0,,3,N.C.,"Ansiedad, Preocupación",7,7.0,4.0,No,Sí,De acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,De acuerdo,En desacuerdo,De acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Estudios, Falta de estabilidad económica, Incertidumbre acerca del futuro",6,6,6,6,6,5,6,"No, debería ser más",9,No,Totalmente de acuerdo,Católica no practicante,2,Técnicos y profesionales de apoyo,Menos de 1.100,Formación profesional de grado superior,,Izquierda
1974,Sí,,28.0,,10,Sociedad en general,"Ansiedad, Preocupación",9,2.0,2.0,No,No,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Falta de estabilidad económica, Incertidumbre acerca del futuro",5,4,4,4,4,4,4,"No, debería ser más",10,No,De acuerdo,Católica no practicante,0,Técnicos y profesionales científicos e intelectuales,N.C.,Estudios universitarios o equivalentes,,Izquierda
1969,Sí,,23.0,,5,Pareja,"Ansiedad, Soledad",10,0.0,9.0,No,No,Ni acuerdo ni desacuerdo,En desacuerdo,En desacuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,40 o más años,"Precariedad laboral, Estudios, Falta de estabilidad económica",4,4,4,7,7,4,7,Debería ser más para la mujer y menos para el hombre,10,No,Totalmente de acuerdo,Atea (niega la existencia de Dios),3,Trabajo doméstico no remunerado,Menos de 1.100,Educación secundaria obligatoria,,Izquierda
1968,Sí,,35.0,,0,De nadie en particular,Ninguna,0,1.0,1.0,Sí,Sí,Ni acuerdo ni desacuerdo,En desacuerdo,En desacuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,N.S.,En desacuerdo,35-39 años,"Precariedad laboral, Estudios, Falta de estabilidad económica",7,7,7,7,7,7,7,Sí,10,No,Totalmente de acuerdo,Católica no practicante,5,En paro,De 1.100 a 1.800,Estudios primarios o equivalentes,,Centro
1972,Sí,,32.0,,5,Entorno laboral,Preocupación,2,0.0,0.0,No,No,Totalmente de acuerdo,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,7,5,7,7,7,7,"No, debería ser más",10,No,De acuerdo,Católica no practicante,5,"Trabajadores de servicios de restauración, personales, protección y vendedores de los comercios",De 1.100 a 1.800,Bachillerato,,Centro
1966,Sí,Sí,26.0,,0,De nadie en particular,Ninguna,1,,3.0,No,Sí,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,25-29 años,Falta de estabilidad económica,7,7,7,7,7,7,7,Sí,10,No,Totalmente de acuerdo,No creyente,0,"Trabajadores de servicios de restauración, personales, protección y vendedores de los comercios",Menos de 1.100,Sin estudios,,Izquierda
1967,Sí,,33.0,,4,Familiares,"Ansiedad, Depresión, Miedo, Culpa, Soledad, Preocupación",7,5.0,5.0,Sí,Sí,Ni acuerdo ni desacuerdo,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,En desacuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Estudios, Falta de estabilidad económica, No tener pareja, Incertidumbre acerca del futuro",7,7,4,4,5,5,7,Debería ser más para la mujer y menos para el hombre,4,No,Totalmente de acuerdo,N.S.,0,Técnicos y profesionales de apoyo,De 1.801 a 2.700,Estudios universitarios o equivalentes,,Izquierda
1978,Sí,,27.0,,0,De nadie en particular,"Ansiedad, Depresión, Miedo, Culpa, Preocupación",1,1.0,1.0,No,Sí,Totalmente de acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Falta de estabilidad económica, Incertidumbre acerca del futuro",6,7,7,7,7,6,7,"No, debería ser más",10,Sí,Totalmente de acuerdo,Católica no practicante,5,"Trabajadores de servicios de restauración, personales, protección y vendedores de los comercios",Menos de 1.100,Formación profesional de grado superior,,Centro
1979,Sí,N.C.,25.0,,0,N.C.,"Ansiedad, Depresión, Miedo, Culpa, Soledad, Preocupación",9,5.0,,No,N.S.,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,De acuerdo,Totalmente en desacuerdo,35-39 años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,7,7,7,6,6,6,"No, debería ser más",5,No,Totalmente de acuerdo,Católica no practicante,5,Técnicos y profesionales de apoyo,De 1.100 a 1.800,Formación profesional de grado medio,,Centro
1989,Sí,,31.0,,7,"Familiares, Pareja","Ansiedad, Depresión, Miedo, Culpa, Soledad, Preocupación",9,8.0,5.0,Sí,Sí,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",6,7,6,5,5,6,7,"No, debería ser más",10,No,Totalmente de acuerdo,No creyente,4,En paro,No tiene ingresos de ningún tipo,Formación profesional de grado medio,,Centro
1978,Sí,,28.0,,5,De nadie en particular,"Ansiedad, Depresión, Miedo, Culpa, Preocupación",0,9.0,9.0,No,Sí,Totalmente de acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,En desacuerdo,35-39 años,"Precariedad laboral, Falta de estabilidad económica",4,7,4,3,4,3,7,Sí,10,No,Totalmente de acuerdo,Católica no practicante,0,"Trabajadores de servicios de restauración, personales, protección y vendedores de los comercios",De 1.100 a 1.800,Educación secundaria obligatoria,,Izquierda
1988,Sí,,25.0,,0,N.C.,"Ansiedad, Depresión, Miedo, Culpa, Preocupación",10,4.0,2.0,No,Sí,Ni acuerdo ni desacuerdo,En desacuerdo,Totalmente en desacuerdo,En desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,35-39 años,"Difícil emancipación, Estudios, Falta de estabilidad económica",7,7,5,5,6,7,7,"No, debería ser más",10,No,Totalmente de acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),3,Técnicos y profesionales científicos e intelectuales,De 1.100 a 1.800,Estudios universitarios o equivalentes,,Izquierda
1971,Sí,,33.0,,0,De nadie en particular,Miedo,5,5.0,,No,Sí,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,En desacuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, No tener pareja",7,7,7,7,7,7,7,Sí,10,No,Totalmente de acuerdo,Católica no practicante,0,Trabajadores no cualificados,No tiene ingresos de ningún tipo,Educación secundaria obligatoria,,Izquierda
1989,Sí,,23.0,,0,De nadie en particular,Ninguna,10,10.0,10.0,Sí,Sí,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,En desacuerdo,40 o más años,"Precariedad laboral, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,7,7,7,7,7,Sí,5,N.S.,Totalmente de acuerdo,Católica no practicante,5,Trabajadores no cualificados,De 1.100 a 1.800,Educación secundaria obligatoria,,Centro
1969,Sí,,17.0,,0,De nadie en particular,"Ansiedad, Miedo, Culpa, Preocupación",1,1.0,1.0,No,Sí,En desacuerdo,En desacuerdo,En desacuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,De acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Estudios, Falta de estabilidad económica, Incertidumbre acerca del futuro",5,5,5,5,5,5,5,"No, debería ser más",10,No,De acuerdo,No creyente,1,Empleados de tipo administrativo,Menos de 1.100,Formación profesional de grado medio,,Izquierda
1987,Sí,,36.0,,5,De mí misma,"Miedo, Culpa, Preocupación",10,7.0,10.0,Sí,Sí,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,7,7,7,7,7,7,"No, debería ser más",10,No,De acuerdo,Atea (niega la existencia de Dios),2,Técnicos y profesionales científicos e intelectuales,De 1.801 a 2.700,Estudios universitarios o equivalentes,,Izquierda
1992,No,Sí,,34,7,Familiares,N.C.,9,5.0,6.0,No,No,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,40 o más años,"Falta de estabilidad económica, No tener pareja, Infertilidad",7,7,7,7,7,7,7,"No, debería ser más",10,No,De acuerdo,Católica no practicante,3,Técnicos y profesionales de apoyo,De 1.801 a 2.700,Estudios universitarios o equivalentes,Entre 30 y 35 años,Izquierda
1992,No,Sí,,33-34,7,Sociedad en general,,3,1.0,2.0,No,No,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",5,5,5,4,5,5,5,N.C.,7,No,Totalmente de acuerdo,No creyente,0,Técnicos y profesionales científicos e intelectuales,De 1.801 a 2.700,Estudios universitarios o equivalentes,Entre 30 y 35 años,Izquierda
1970,Sí,,29.0,,0,De nadie en particular,"Ansiedad, Depresión, Soledad, Preocupación",10,3.0,6.0,No,Sí,Ni acuerdo ni desacuerdo,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo,Ni acuerdo ni desacuerdo,Ni acuerdo ni desacuerdo,40 o más años,Incertidumbre acerca del futuro,2,7,5,7,1,1,7,Debería ser más para la mujer y menos para el hombre,8,No,Totalmente de acuerdo,Católica no practicante,6,"Trabajadores de servicios de restauración, personales, protección y vendedores de los comercios",Menos de 1.100,Formación profesional de grado medio,,Centro
1992,Sí,,32.0,,8,Familiares,"Miedo, Culpa, Preocupación",4,7.0,6.0,No,Sí,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,7,7,4,7,7,7,"No, debería ser más",10,No,Totalmente de acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),3,Sanitaria pública,De 1.100 a 1.800,Formación profesional de grado medio,,Izquierda
1992,No,Sí,,35,7,Familiares,,5,9.0,10.0,No,Sí,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,N.C.,40 o más años,"Precariedad laboral, Difícil emancipación, Estudios",6,7,7,5,7,4,7,"No, debería ser más",10,No,Totalmente de acuerdo,Atea (niega la existencia de Dios),3,Técnicos y profesionales de apoyo,De 1.801 a 2.700,Estudios universitarios o equivalentes,Entre 30 y 35 años,Izquierda
1972,Sí,,38.0,,0,De nadie en particular,"Miedo, Preocupación",10,0.0,2.0,Sí,No,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo,En desacuerdo,Totalmente en desacuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",6,6,6,6,6,6,6,"No, debería ser más",10,No,Totalmente de acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),3,Técnicos y profesionales de apoyo,Más de 5.000,Estudios universitarios o equivalentes,,Izquierda
